Plant;
SN of Inverter;
Time;Power(W)
28/03/2025 20.02;4
28/03/2025 20.03;5
28/03/2025 20.04;4
28/03/2025 20.05;5
28/03/2025 20.06;6
28/03/2025 20.07;3
28/03/2025 20.08;4
28/03/2025 20.09;3
28/03/2025 20.10;4
28/03/2025 20.11;4
28/03/2025 20.12;2
28/03/2025 20.13;3
28/03/2025 20.14;1
28/03/2025 20.15;2
28/03/2025 20.16;2
28/03/2025 20.17;2
28/03/2025 20.18;2
28/03/2025 20.19;3
28/03/2025 20.20;1
28/03/2025 20.21;1
28/03/2025 20.22;1
28/03/2025 20.23;2
28/03/2025 20.24;4
28/03/2025 20.25;3
28/03/2025 20.26;3
28/03/2025 20.27;4
28/03/2025 20.28;1
28/03/2025 20.29;2
28/03/2025 20.30;2
28/03/2025 20.31;5
28/03/2025 20.32;4
28/03/2025 20.33;3
28/03/2025 20.34;3
28/03/2025 20.35;3
28/03/2025 20.36;4
28/03/2025 20.37;1
28/03/2025 20.38;4
28/03/2025 20.39;3
28/03/2025 20.40;3
28/03/2025 20.41;3
28/03/2025 20.42;3
28/03/2025 20.43;6
28/03/2025 20.44;2
29/03/2025 6.39;0
29/03/2025 6.40;0
29/03/2025 6.41;0
29/03/2025 6.42;0
29/03/2025 6.43;0
29/03/2025 6.44;14
29/03/2025 6.45;20
29/03/2025 6.46;16
29/03/2025 6.47;23
29/03/2025 6.48;26
29/03/2025 6.49;26
29/03/2025 6.50;33
29/03/2025 6.51;32
29/03/2025 6.52;39
29/03/2025 6.53;44
29/03/2025 6.54;45
29/03/2025 6.55;53
29/03/2025 6.56;54
29/03/2025 6.57;64
29/03/2025 6.58;69
29/03/2025 6.59;72
29/03/2025 7.00;81
29/03/2025 7.01;82
29/03/2025 7.02;92
29/03/2025 7.03;98
29/03/2025 7.04;102
29/03/2025 7.05;112
29/03/2025 7.06;116
29/03/2025 7.07;126
29/03/2025 7.08;130
29/03/2025 7.09;137
29/03/2025 7.10;149
29/03/2025 7.11;152
29/03/2025 7.12;163
29/03/2025 7.13;167
29/03/2025 7.14;180
29/03/2025 7.15;187
29/03/2025 7.16;190
29/03/2025 7.17;205
29/03/2025 7.18;207
29/03/2025 7.19;218
29/03/2025 7.20;225
29/03/2025 7.21;228
29/03/2025 7.22;244
29/03/2025 7.23;246
29/03/2025 7.24;262
29/03/2025 7.25;273
29/03/2025 7.26;279
29/03/2025 7.27;291
29/03/2025 7.28;299
29/03/2025 7.29;307
29/03/2025 7.30;318
29/03/2025 7.31;322
29/03/2025 7.32;339
29/03/2025 7.33;339
29/03/2025 7.34;351
29/03/2025 7.35;364
29/03/2025 7.36;368
29/03/2025 7.37;379
29/03/2025 7.38;386
29/03/2025 7.39;396
29/03/2025 7.40;407
29/03/2025 7.41;413
29/03/2025 7.42;419
29/03/2025 7.43;433
29/03/2025 7.44;441
29/03/2025 7.45;455
29/03/2025 7.46;462
29/03/2025 7.47;470
29/03/2025 7.48;478
29/03/2025 7.49;488
29/03/2025 7.50;488
29/03/2025 7.51;498
29/03/2025 7.52;513
